Date,Tournament,Surface,Rd,Rk,vRk,Result,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
21-Feb-22,Dubai,Hard,QF,1,123,(Q)Jiri Vesely [CZE] d. (1)Djokovic,6-4 7-6(4),0.96,12.70%,5.60%,66.20%,74.50%,41.70%,5/8,01:57
21-Feb-22,Dubai,Hard,R16,1,26,(1)Djokovic d. Karen Khachanov [RUS],6-3 7-6(2),1.26,8.70%,4.30%,66.70%,82.60%,47.80%,3/4,01:38
21-Feb-22,Dubai,Hard,R32,1,58,(1)Djokovic d. (WC)Lorenzo Musetti [ITA],6-3 6-3,1.57,9.10%,3.60%,56.40%,77.40%,70.80%,7/7,01:14
03-Dec-21,Davis Cup Finals SF: CRO vs SRB,Hard,RR,1,30,Djokovic d. Marin Cilic [CRO],6-4 6-2,1.52,6.70%,1.70%,66.70%,75.00%,60.00%,8/8,01:39
01-Dec-21,Davis Cup Finals QF: SRB vs KAZ,Hard,RR,1,36,Djokovic d. Alexander Bublik [KAZ],6-3 6-4,1.98,7.50%,5.70%,60.40%,90.60%,61.90%,2/2,01:16
27-Nov-21,Davis Cup Finals RR: SRB vs GER,Hard,RR,1,51,Djokovic d. Jan Lennard Struff [GER],6-2 6-4,1.67,17.30%,0.00%,65.40%,79.40%,61.10%,0/0,01:12
26-Nov-21,Davis Cup Finals RR: SRB vs AUT,Hard,RR,1,118,Djokovic d. Dennis Novak [AUT],6-3 6-2,2.96,7.10%,0.00%,61.90%,84.60%,87.50%,0/0,00:57
15-Nov-21,Tour Finals,Hard,SF,1,3,(3)Alexander Zverev [GER] d. (1)Djokovic,7-6(4) 4-6 6-3,0.89,16.30%,1.10%,65.20%,86.70%,40.60%,3/4,02:28
15-Nov-21,Tour Finals,Hard,RR,1,8,(1)Djokovic d. (8)Casper Ruud [NOR],7-6(4) 6-2,1.98,18.90%,0.00%,73.60%,89.70%,42.90%,0/1,01:30
15-Nov-21,Tour Finals,Hard,RR,1,5,(1)Djokovic d. (5)Andrey Rublev [RUS],6-3 6-2,1.71,29.20%,0.00%,64.60%,87.10%,41.20%,0/1,01:08
15-Nov-21,Tour Finals,Hard,RR,1,12,(1)Djokovic d. (10)Cameron Norrie [GBR],6-2 6-1,2.24,13.20%,0.00%,68.40%,80.80%,66.70%,1/1,01:06
01-Nov-21,Paris Masters,Hard,F,1,2,(1)Djokovic d. (2)Daniil Medvedev [RUS],4-6 6-3 6-3,1.22,7.00%,2.30%,66.30%,78.90%,31.00%,7/10,02:15
01-Nov-21,Paris Masters,Hard,SF,1,10,(1)Djokovic d. (7)Hubert Hurkacz [POL],3-6 6-0 7-6(5),1.38,6.50%,3.90%,55.80%,76.70%,61.80%,1/3,02:17
01-Nov-21,Paris Masters,Hard,QF,1,26,(1)Djokovic d. Taylor Fritz [USA],6-4 6-3,1.59,17.00%,6.40%,72.30%,73.50%,46.20%,2/5,01:13
01-Nov-21,Paris Masters,Hard,R16,1,22,(1)Djokovic d. (15)Gael Monfils [FRA],W/O,,,,,,,,
01-Nov-21,Paris Masters,Hard,R32,1,40,(1)Djokovic d. Marton Fucsovics [HUN],6-2 4-6 6-3,1.47,3.80%,0.00%,67.90%,77.40%,56.00%,0/2,02:00
30-Aug-21,US Open,Hard,F,1,2,(2)Daniil Medvedev [RUS] d. (1)Djokovic,6-4 6-4 6-4,0.76,6.50%,3.30%,54.30%,80.00%,40.50%,4/8,02:16
30-Aug-21,US Open,Hard,SF,1,4,(1)Djokovic d. (4)Alexander Zverev [GER],4-6 6-2 6-4 4-6 6-2,1,8.00%,1.30%,66.00%,76.80%,43.10%,9/12,03:34
30-Aug-21,US Open,Hard,QF,1,8,(1)Djokovic d. (6)Matteo Berrettini [ITA],5-7 6-2 6-2 6-3,1.5,10.30%,3.40%,61.50%,73.60%,66.70%,4/5,03:27
30-Aug-21,US Open,Hard,R16,1,99,(1)Djokovic d. (WC)Jenson Brooksby [USA],1-6 6-3 6-2 6-2,1.29,8.60%,1.00%,62.90%,72.70%,53.80%,8/11,02:59
30-Aug-21,US Open,Hard,R32,1,56,(1)Djokovic d. Kei Nishikori [JPN],6-7(4) 6-3 6-3 6-2,1.32,11.50%,5.30%,62.60%,76.80%,51.00%,1/11,03:32
30-Aug-21,US Open,Hard,R64,1,121,(1)Djokovic d. Tallon Griekspoor [NED],6-2 6-3 6-2,1.76,18.10%,6.90%,63.90%,80.40%,53.80%,3/4,01:39
30-Aug-21,US Open,Hard,R128,1,145,(1)Djokovic d. (Q)Holger Rune [DEN],6-1 6-7(5) 6-2 6-1,1.58,17.50%,7.20%,63.90%,85.50%,48.60%,1/3,02:15
24-Jul-21,Tokyo Olympics,Hard,BR,1,11,(6)Pablo Carreno Busta [ESP] d. (1)Djokovic,6-4 6-7(6) 6-3,,,,,,,,
24-Jul-21,Tokyo Olympics,Hard,SF,1,5,(4)Alexander Zverev [GER] d. (1)Djokovic,1-6 6-3 6-1,,,,,,,,
24-Jul-21,Tokyo Olympics,Hard,QF,1,69,(1)Djokovic d. Kei Nishikori [JPN],6-2 6-0,,,,,,,,
