Date,Tournament,Surface,Rd,Rk,vRk,Result,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
28-Jun-21,Wimbledon,Grass,QF,8,18,(14)Hubert Hurkacz [POL] d. (6)Federer,6-3 7-6(4) 6-0,0.68,5.40%,3.20%,64.50%,66.70%,33.30%,1/10,01:49
28-Jun-21,Wimbledon,Grass,R16,8,27,(6)Federer d. (23)Lorenzo Sonego [ITA],7-5 6-4 6-2,1.58,5.10%,1.30%,60.30%,78.70%,64.50%,2/3,02:11
28-Jun-21,Wimbledon,Grass,R32,8,34,(6)Federer d. (29)Cameron Norrie [GBR],6-4 6-4 5-7 6-4,1.33,6.10%,0.00%,66.70%,73.70%,65.80%,2/4,02:35
28-Jun-21,Wimbledon,Grass,R64,8,56,(6)Federer d. Richard Gasquet [FRA],7-6(1) 6-1 6-4,1.61,10.50%,0.00%,65.30%,83.90%,57.60%,5/5,01:51
28-Jun-21,Wimbledon,Grass,R128,8,41,(6)Federer d. Adrian Mannarino [FRA],6-4 6-7(3) 3-6 6-2 0-0 RET,1.16,14.30%,2.70%,60.70%,73.50%,61.40%,6/8,02:44
14-Jun-21,Halle,Grass,R16,8,21,Felix Auger Aliassime [CAN] d. (5)Federer,4-6 6-3 6-2,0.5,5.50%,1.10%,67.00%,62.30%,53.30%,1/12,01:44
14-Jun-21,Halle,Grass,R32,8,90,(5)Federer d. (Q)Ilya Ivashka [BLR],7-6(4) 7-5,0.94,5.30%,1.30%,75.00%,77.20%,52.60%,2/2,01:34
31-May-21,Roland Garros,Clay,R16,8,9,(9)Matteo Berrettini [ITA] d. (8)Federer,W/O,,,,,,,,
31-May-21,Roland Garros,Clay,R32,8,59,(8)Federer d. Dominik Koepfer [GER],7-6(5) 6-7(3) 7-6(4) 7-5,1.02,3.80%,0.60%,63.90%,68.30%,57.90%,2/6,03:35
31-May-21,Roland Garros,Clay,R64,8,47,(8)Federer d. Marin Cilic [CRO],6-2 2-6 7-6(4) 6-2,1.22,13.70%,0.90%,68.40%,75.00%,56.80%,5/8,02:35
31-May-21,Roland Garros,Clay,R128,8,204,(8)Federer d. (Q)Denis Istomin [UZB],6-2 6-4 6-3,2.18,12.30%,0.00%,70.80%,80.40%,78.90%,0/0,01:33
17-May-21,Geneva,Clay,R16,8,75,Pablo Andujar [ESP] d. (1)Federer,6-4 4-6 6-4,0.96,3.70%,0.00%,59.30%,77.10%,57.60%,2/5,01:51
08-Mar-21,Doha,Hard,QF,6,42,Nikoloz Basilashvili [GEO] d. (2)Federer,3-6 6-1 7-5,0.87,12.50%,0.00%,68.80%,66.70%,50.00%,7/10,01:50
08-Mar-21,Doha,Hard,R16,6,28,(2)Federer d. Daniel Evans [GBR],7-6(8) 3-6 7-5,1.16,12.40%,0.00%,67.60%,78.90%,52.90%,3/4,02:24
20-Jan-20,Australian Open,Hard,SF,3,2,(2)Novak Djokovic [SRB] d. (3)Federer,7-6(1) 6-4 6-3,0.76,14.40%,2.90%,65.40%,66.20%,41.70%,7/11,02:18
20-Jan-20,Australian Open,Hard,QF,3,100,(3)Federer d. Tennys Sandgren [USA],6-3 2-6 2-6 7-6(8) 6-3,0.93,2.90%,1.80%,65.50%,71.40%,52.50%,1/10,03:31
