Date,Tournament,Surface,Rd,Rk,vRk,Result,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
21-Feb-22,Acapulco,Hard,F,5,12,(4)Nadal d. (6)Cameron Norrie [GBR],6-4 6-4,1.26,5.30%,0.00%,78.90%,71.10%,41.70%,3/5,01:54
21-Feb-22,Acapulco,Hard,SF,5,2,(4)Nadal d. (1)Daniil Medvedev [RUS],6-3 6-3,1.29,2.50%,1.30%,71.30%,64.90%,65.20%,11/11,02:00
21-Feb-22,Acapulco,Hard,QF,5,39,(4)Nadal d. Tommy Paul [USA],6-0 7-6(5),1.37,3.00%,6.00%,58.20%,69.20%,46.40%,4/7,02:03
21-Feb-22,Acapulco,Hard,R16,5,130,(4)Nadal d. (LL)Stefan Kozlov [USA],6-0 6-3,2.15,5.00%,0.00%,77.50%,77.40%,66.70%,0/1,01:16
21-Feb-22,Acapulco,Hard,R32,5,100,(4)Nadal d. (LL)Denis Kudla [USA],6-3 6-2,4.46,20.00%,0.00%,67.50%,96.30%,76.90%,0/0,01:16
17-Jan-22,Australian Open,Hard,F,5,2,(6)Nadal d. (2)Daniil Medvedev [RUS],2-6 6-7(5) 6-4 6-4 7-5,0.94,1.60%,2.60%,61.90%,66.70%,47.20%,16/22,05:24
17-Jan-22,Australian Open,Hard,SF,5,7,(6)Nadal d. (7)Matteo Berrettini [ITA],6-3 6-2 3-6 6-3,1.19,4.90%,2.00%,68.60%,72.90%,62.50%,1/2,02:55
17-Jan-22,Australian Open,Hard,QF,5,14,(6)Nadal d. (14)Denis Shapovalov [CAN],6-3 6-4 4-6 3-6 6-3,1.11,5.50%,7.50%,68.50%,79.00%,45.70%,6/8,04:08
17-Jan-22,Australian Open,Hard,R16,5,69,(6)Nadal d. Adrian Mannarino [FRA],7-6(14) 6-2 6-2,1.58,18.20%,6.80%,54.50%,87.50%,60.00%,1/2,02:40
17-Jan-22,Australian Open,Hard,R32,5,30,(6)Nadal d. (28)Karen Khachanov [RUS],6-3 6-2 3-6 6-1,1.62,4.10%,6.10%,67.30%,83.30%,56.30%,4/5,02:50
17-Jan-22,Australian Open,Hard,R64,5,126,(6)Nadal d. (Q)Yannick Hanfmann [GER],6-2 6-3 6-4,1.49,1.20%,5.90%,54.10%,76.10%,64.10%,2/2,02:42
17-Jan-22,Australian Open,Hard,R128,5,66,(6)Nadal d. Marcos Giron [USA],6-1 6-4 6-2,2.13,9.70%,2.80%,70.80%,84.30%,61.90%,2/2,01:49
