Date,Tournament,Surface,Rd,Rk,vRk,,Score,More,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
28_Oct_2024,Paris,Hard,R16,2,18,(15)Ugo Humbert [FRA] d. (2)Alcaraz,6-1 3-6 7-5,,1,9.30%,6.70%,61.30%,82.60%,41.40%,6-Mar,2:16
28_Oct_2024,Paris,Hard,R32,2,37,(2)Alcaraz d. Nicolas Jarry [CHI],7-5 6-1,,1.42,15.00%,0.00%,70.00%,76.20%,50.00%,6-May,1:30
2_Oct_2024,Shanghai Masters,Hard,QF,2,33,(30)Tomas Machac [CZE] d. (3)Alcaraz,7-6(5) 7-5, (ch),1.13,11.90%,1.50%,67.20%,75.60%,54.50%,4-Feb,1:54
2_Oct_2024,Shanghai Masters,Hard,R16,2,46,(3)Alcaraz d. Gael Monfils [FRA],6-4 7-5, (ch),1.56,8.50%,0.00%,69.50%,78.00%,77.80%,1-Jan,1:27
2_Oct_2024,Shanghai Masters,Hard,R32,2,560,(3)Alcaraz d. (WC)Yibing Wu [CHN],7-6(5) 6-3,,1.17,15.70%,1.40%,61.40%,81.40%,55.60%,0/0,1:40
2_Oct_2024,Shanghai Masters,Hard,R64,2,51,(3)Alcaraz d. Juncheng Shang [CHN],6-2 6-2, (ch),1.95,6.30%,0.00%,50.00%,79.20%,66.70%,1-Jan,1:16
26_Sep_2024,Beijing,Hard,F,3,1,(2)Alcaraz d. (1)Jannik Sinner [ITA],6-7(6) 6-4 7-6(3), (ch),1.16,4.90%,1.60%,60.20%,73.00%,55.10%,6-Apr,3:21
26_Sep_2024,Beijing,Hard,SF,3,5,(2)Alcaraz d. (3)Daniil Medvedev [RUS],7-5 6-3, (ch),1.46,5.70%,1.90%,67.90%,75.00%,52.90%,0/2,1:27
26_Sep_2024,Beijing,Hard,QF,3,27,(2)Alcaraz d. (7)Karen Khachanov [RUS],7-5 6-2, (ch),1.68,3.80%,3.80%,63.50%,75.80%,68.40%,2-Jan,1:36
26_Sep_2024,Beijing,Hard,R16,3,39,(2)Alcaraz d. Tallon Griekspoor [NED],6-1 6-2, (ch),2.44,9.80%,0.00%,56.10%,100.00%,50.00%,0/0,0:56
26_Sep_2024,Beijing,Hard,R32,3,51,(2)Alcaraz d. Giovanni Mpetshi Perricard [FRA],6-4 6-4, (ch),1.41,8.90%,1.80%,60.70%,73.50%,81.80%,3-Mar,1:21
20_Sep_2024,Laver Cup,Hard,RR,3,7,Alcaraz d. Taylor Fritz [USA],6-2 7-5,,1.45,1.80%,1.80%,73.20%,80.50%,46.70%,4-Mar,1:29
20_Sep_2024,Laver Cup,Hard,RR,3,17,Alcaraz d. Ben Shelton [USA],6-4 6-4,,1.4,0.00%,0.00%,78.00%,78.30%,61.50%,5-May,1:43
13_Sep_2024,Davis Cup Finals RR: FRA vs ESP,Hard,RR,3,18,Alcaraz d. Ugo Humbert [FRA],6-3 6-3,,1.76,9.80%,2.00%,60.80%,80.60%,70.00%,6-Jun,1:20
11_Sep_2024,Davis Cup Finals RR: CZE vs ESP,Hard,RR,3,35,Alcaraz d. Tomas Machac [CZE],6-7(3) 6-1 RET,,1.78,10.00%,2.00%,56.00%,85.70%,63.60%,0/1,1:38
26_Aug_2024,US Open,Hard,R64,3,74,Botic Van De Zandschulp [NED] d. (3)Alcaraz,6-1 7-5 6-4, (ch),0.81,2.90%,1.40%,61.40%,60.50%,51.90%,9-Mar,2:19
26_Aug_2024,US Open,Hard,R128,3,186,(3)Alcaraz d. (Q)Li Tu [AUS],6-2 4-6 6-3 6-1,,1.88,8.90%,4.40%,61.10%,80.00%,65.70%,6-Apr,2:42
12_Aug_2024,Cincinnati Masters,Hard,R32,3,46,Gael Monfils [FRA] d. (2)Alcaraz,4-6 7-6(5) 6-4, (ch),1.13,6.90%,7.80%,54.90%,76.80%,60.90%,8-Jul,2:30
29_Jul_2024,Paris Olympics,Clay,F,3,2,(1)Novak Djokovic [SRB] d. (2)Alcaraz,7-6(3) 7-6(2), (ch),0.81,1.00%,1.00%,66.30%,72.30%,48.50%,6-Jun,
29_Jul_2024,Paris Olympics,Clay,SF,3,19,(2)Alcaraz d. (13)Felix Auger Aliassime [CAN],6-1 6-1, (ch),2.07,5.30%,5.30%,57.90%,77.30%,68.80%,0/0,
29_Jul_2024,Paris Olympics,Clay,QF,3,13,(2)Alcaraz d. (9)Tommy Paul [USA],6-3 7-6(7), (ch),1.03,7.60%,2.50%,74.70%,71.20%,55.00%,5-Apr,
29_Jul_2024,Paris Olympics,Clay,R16,3,66,(2)Alcaraz d. Roman Safiullin [RUS],6-4 6-2,,1.57,10.60%,0.00%,63.80%,80.00%,47.10%,0/1,
29_Jul_2024,Paris Olympics,Clay,R32,3,28,(2)Alcaraz d. Tallon Griekspoor [NED],6-1 7-6(3), (ch),1.54,6.30%,0.00%,81.30%,69.20%,83.30%,1-Jan,
29_Jul_2024,Paris Olympics,Clay,R64,3,274,(2)Alcaraz d. (ALT)Hady Habib [LIB],6-3 6-1, (ch),2.17,10.60%,4.30%,68.10%,81.30%,66.70%,4-Apr,
1_Jul_2024,Wimbledon,Grass,F,3,2,(3)Alcaraz d. (2)Novak Djokovic [SRB],6-2 6-2 7-6(4), (ch),1.41,5.30%,6.30%,58.90%,83.90%,51.30%,3-Feb,2:27
1_Jul_2024,Wimbledon,Grass,SF,3,5,(3)Alcaraz d. (5)Daniil Medvedev [RUS],6-7(1) 6-3 6-4 6-4, (ch),1.2,5.30%,1.80%,56.60%,73.40%,61.20%,0/3,2:55
1_Jul_2024,Wimbledon,Grass,QF,3,13,(3)Alcaraz d. (12)Tommy Paul [USA],5-7 6-4 6-2 6-2, (ch),1.29,5.90%,1.70%,61.30%,65.80%,63.00%,10-Jun,3:11
1_Jul_2024,Wimbledon,Grass,R16,3,16,(3)Alcaraz d. (16)Ugo Humbert [FRA],6-3 6-4 1-6 7-5, (ch),0.98,10.40%,4.40%,70.40%,66.30%,42.50%,13-Aug,3:00
1_Jul_2024,Wimbledon,Grass,R32,3,29,(3)Alcaraz d. (29)Frances Tiafoe [USA],5-7 6-2 4-6 7-6(2) 6-2, (ch),1.04,9.80%,3.10%,65.00%,70.80%,61.40%,10-Jul,3:50
1_Jul_2024,Wimbledon,Grass,R64,3,69,(3)Alcaraz d. Aleksandar Vukic [AUS],7-6(5) 6-2 6-2,,1.74,14.90%,2.70%,66.20%,81.60%,56.00%,3-Jan,1:48
1_Jul_2024,Wimbledon,Grass,R128,3,269,(3)Alcaraz d. (Q)Mark Lajal [EST],7-6(3) 7-5 6-2, (ch),1.56,4.50%,4.50%,62.90%,83.90%,54.50%,4-Feb,2:22
17_Jun_2024,Queen's Club,Grass,R16,2,31,Jack Draper [GBR] d. (1)Alcaraz,7-6(3) 6-3, (ch),0.73,9.30%,1.30%,66.70%,76.00%,48.00%,4-Mar,1:39
17_Jun_2024,Queen's Club,Grass,R32,2,26,(1)Alcaraz d. Francisco Cerundolo [ARG],6-1 7-5,,1.8,3.60%,5.40%,58.90%,78.80%,65.20%,4-Mar,1:22
27_May_2024,Roland Garros,Clay,F,3,4,(3)Alcaraz d. (4)Alexander Zverev [GER],6-3 2-6 5-7 6-1 6-2, (ch),1.09,1.90%,3.80%,60.40%,64.60%,49.20%,17/23,
27_May_2024,Roland Garros,Clay,SF,3,2,(3)Alcaraz d. (2)Jannik Sinner [ITA],2-6 6-3 3-6 6-4 6-3, (ch),0.94,5.10%,4.50%,65.60%,66.00%,46.30%,10-Apr,
27_May_2024,Roland Garros,Clay,QF,3,9,(3)Alcaraz d. (9)Stefanos Tsitsipas [GRE],6-3 7-6(3) 6-4, (ch),1.52,3.60%,1.20%,72.60%,73.80%,73.90%,2-Jan,
27_May_2024,Roland Garros,Clay,R16,3,21,(3)Alcaraz d. (21)Felix Auger Aliassime [CAN],6-3 6-3 6-1, (ch),1.54,1.30%,2.50%,67.10%,75.50%,53.80%,5-Apr,
27_May_2024,Roland Garros,Clay,R32,3,28,(3)Alcaraz d. (27)Sebastian Korda [USA],6-4 7-6(5) 6-3, (ch),1.54,3.30%,0.00%,77.80%,72.90%,65.00%,3-Jan,
27_May_2024,Roland Garros,Clay,R64,3,176,(3)Alcaraz d. (Q)Jesper De Jong [NED],6-3 6-4 2-6 6-2, (ch),1.22,1.80%,1.80%,69.60%,64.10%,50.00%,12-Jul,
