Date,Tournament,Surface,Rd,Rk,vRk,,Score,More,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
2_Oct_2024,Shanghai Masters,Hard,F,4,1,(1)Jannik Sinner [ITA] d. (4)Djokovic,7-6(4) 6-3, (ch),0.97,6.90%,0.00%,65.50%,76.30%,60.00%,2-Jan,1:37
2_Oct_2024,Shanghai Masters,Hard,SF,4,7,(4)Djokovic d. (7)Taylor Fritz [USA],6-4 7-6(6), (ch),1.33,9.90%,0.00%,70.40%,78.00%,61.90%,2-Feb,1:56
2_Oct_2024,Shanghai Masters,Hard,QF,4,65,(4)Djokovic d. Jakub Mensik [CZE],6-7(4) 6-1 6-4,,1.47,8.50%,1.20%,63.40%,82.70%,56.70%,0/1,2:19
2_Oct_2024,Shanghai Masters,Hard,R16,4,61,(4)Djokovic d. Roman Safiullin [RUS],6-3 6-2, (ch),1.82,7.80%,2.00%,64.70%,87.90%,50.00%,3-Mar,1:13
2_Oct_2024,Shanghai Masters,Hard,R32,4,30,(4)Djokovic d. (28)Flavio Cobolli [ITA],6-1 6-2, (ch),3.01,7.50%,5.00%,60.00%,83.30%,81.30%,0/0,1:03
2_Oct_2024,Shanghai Masters,Hard,R64,4,43,(4)Djokovic d. Alex Michelsen [USA],7-6(3) 7-6(9),,1.35,9.20%,3.90%,68.40%,76.90%,62.50%,5-Mar,1:55
14_Sep_2024,Davis Cup WG1 R1: SRB vs GRE,Hard,RR,4,770,Djokovic d. Ioannis Xilas [GRE],6-0 6-1,,,,,,,,,
26_Aug_2024,US Open,Hard,R32,2,28,(28)Alexei Popyrin [AUS] d. (2)Djokovic,6-4 6-4 2-6 6-4, (ch),0.96,12.30%,10.80%,58.50%,71.10%,46.30%,12-Jul,3:19
26_Aug_2024,US Open,Hard,R64,2,109,(2)Djokovic d. Laslo Djere [SRB],6-4 6-4 2-0 RET, (ch),1.26,3.40%,9.00%,47.20%,78.60%,48.90%,8-Jul,2:16
26_Aug_2024,US Open,Hard,R128,2,138,(2)Djokovic d. (Q)Radu Albot [MDA],6-2 6-2 6-4, (ch),1.35,9.60%,12.00%,47.00%,74.40%,56.80%,3-Feb,2:07
29_Jul_2024,Paris Olympics,Clay,F,2,3,(1)Djokovic d. (2)Carlos Alcaraz [ESP],7-6(3) 7-6(2), (ch),1.23,1.10%,2.20%,74.20%,78.30%,50.00%,8-Aug,
29_Jul_2024,Paris Olympics,Clay,SF,2,16,(1)Djokovic d. (11)Lorenzo Musetti [ITA],6-4 6-2, (ch),1.4,5.50%,0.00%,67.30%,62.20%,66.70%,4-Feb,
29_Jul_2024,Paris Olympics,Clay,QF,2,11,(1)Djokovic d. (8)Stefanos Tsitsipas [GRE],6-3 7-6(3), (ch),1.2,7.50%,1.30%,71.30%,64.90%,56.50%,6-Apr,
29_Jul_2024,Paris Olympics,Clay,R16,2,70,(1)Djokovic d. Dominik Koepfer [GER],7-5 6-3, (ch),2.66,8.90%,0.00%,64.30%,86.10%,100.00%,2-Jan,
29_Jul_2024,Paris Olympics,Clay,R32,2,161,(1)Djokovic d. (PR)Rafael Nadal [ESP],6-1 6-4, (ch),1.95,10.40%,2.10%,60.40%,82.80%,52.60%,3-Jan,
29_Jul_2024,Paris Olympics,Clay,R64,2,,(1)Djokovic d. (ALT)Matthew Ebden [AUS],6-0 6-1, (ch),3.91,13.30%,0.00%,83.30%,80.00%,100.00%,0/0,
1_Jul_2024,Wimbledon,Grass,F,2,3,(3)Carlos Alcaraz [ESP] d. (2)Djokovic,6-2 6-2 7-6(4), (ch),0.71,7.90%,4.00%,70.30%,66.20%,40.00%,14-Sep,2:27
1_Jul_2024,Wimbledon,Grass,SF,2,25,(2)Djokovic d. (25)Lorenzo Musetti [ITA],6-4 7-6(2) 6-4, (ch),1.26,5.80%,3.90%,67.00%,75.40%,44.10%,4-Feb,2:48
1_Jul_2024,Wimbledon,Grass,QF,2,9,(2)Djokovic d. (9)Alex De Minaur [AUS],W/O,,,,,,,,,
1_Jul_2024,Wimbledon,Grass,R16,2,15,(2)Djokovic d. (15)Holger Rune [DEN],6-3 6-4 6-2, (ch),1.52,6.30%,2.50%,63.70%,74.50%,72.40%,2-Feb,2:03
1_Jul_2024,Wimbledon,Grass,R32,2,47,(2)Djokovic d. Alexei Popyrin [AUS],4-6 6-3 6-4 7-6(3), (ch),1.66,16.80%,2.70%,69.00%,88.50%,60.00%,2-Jan,3:05
1_Jul_2024,Wimbledon,Grass,R64,2,277,(2)Djokovic d. (WC)Jacob Fearnley [GBR],6-3 6-4 5-7 7-5,,1.22,11.40%,2.40%,66.70%,80.50%,56.10%,6-Apr,3:00
1_Jul_2024,Wimbledon,Grass,R128,2,123,(2)Djokovic d. (Q)Vit Kopriva [CZE],6-1 6-2 6-2, (ch),3.02,17.20%,3.40%,67.20%,89.70%,68.40%,0/0,1:58
27_May_2024,Roland Garros,Clay,QF,1,7,(7)Casper Ruud [NOR] d. (1)Djokovic,W/O,,,,,,,,,
27_May_2024,Roland Garros,Clay,R16,1,27,(1)Djokovic d. (23)Francisco Cerundolo [ARG],6-1 5-7 3-6 7-5 6-3, (ch),1.03,3.30%,1.10%,67.20%,69.10%,50.00%,15/19,
27_May_2024,Roland Garros,Clay,R32,1,30,(1)Djokovic d. (30)Lorenzo Musetti [ITA],7-5 6-7(6) 2-6 6-3 6-0, (ch),1.16,3.60%,1.40%,65.50%,69.20%,47.90%,0/5,
27_May_2024,Roland Garros,Clay,R64,1,63,(1)Djokovic d. Roberto Carballes Baena [ESP],6-4 6-1 6-2, (ch),1.68,6.80%,1.40%,63.00%,71.70%,59.30%,3-Jan,
