Date,Tournament,Surface,Rd,Rk,vRk,,Score,More,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
28_Oct_2024,Paris,Hard,R32,6,15,Jack Draper [GBR] d. (5)Fritz,7-6(6) 4-6 6-4,,0.84,6.70%,3.30%,52.50%,68.30%,59.60%,10-Aug,2:22
2_Oct_2024,Shanghai Masters,Hard,SF,7,4,(4)Novak Djokovic [SRB] d. (7)Fritz,6-4 7-6(6), (ch),0.75,7.10%,6.00%,58.30%,71.40%,54.30%,9-Aug,1:56
2_Oct_2024,Shanghai Masters,Hard,QF,7,66,(7)Fritz d. David Goffin [BEL],6-3 6-4, (ch),1.36,16.40%,0.00%,67.20%,68.30%,70.00%,4-Mar,1:22
2_Oct_2024,Shanghai Masters,Hard,R16,7,14,(7)Fritz d. (12)Holger Rune [DEN],6-1 6-2, (ch),2.1,18.80%,0.00%,72.90%,85.70%,46.20%,1-Jan,0:55
2_Oct_2024,Shanghai Masters,Hard,R32,7,336,(7)Fritz d. (Q)Yosuke Watanuki [JPN],6-3 6-4,,1.25,16.70%,0.00%,65.00%,76.90%,47.60%,4-Mar,1:15
2_Oct_2024,Shanghai Masters,Hard,R64,7,161,(7)Fritz d. (Q)Terence Atmane [FRA],7-6(4) 7-6(5),,0.94,7.30%,0.00%,63.40%,73.10%,56.70%,3-Feb,2:02
25_Sep_2024,Tokyo,Hard,R32,7,24,Arthur Fils [FRA] d. (1)Fritz,6-4 3-6 6-3,,0.81,17.40%,7.00%,61.60%,77.40%,45.50%,5-Mar,2:03
20_Sep_2024,Laver Cup,Hard,RR,7,3,Carlos Alcaraz [ESP] d. Fritz,6-2 7-5,,0.69,10.80%,6.20%,67.70%,63.60%,47.60%,6-Feb,1:29
20_Sep_2024,Laver Cup,Hard,RR,7,2,Fritz d. Alexander Zverev [GER],6-4 7-5,,1.36,11.30%,4.20%,53.50%,86.80%,48.50%,5-Apr,1:57
26_Aug_2024,US Open,Hard,F,12,1,(1)Jannik Sinner [ITA] d. (12)Fritz,6-3 6-4 7-5, (ch),0.75,11.10%,4.40%,58.90%,67.90%,43.20%,12-Jun,2:16
26_Aug_2024,US Open,Hard,SF,12,20,(12)Fritz d. (20)Frances Tiafoe [USA],4-6 7-5 4-6 6-4 6-1, (ch),1.24,12.20%,2.30%,58.00%,75.00%,65.50%,5-Jan,3:18
26_Aug_2024,US Open,Hard,QF,12,4,(12)Fritz d. (4)Alexander Zverev [GER],7-6(2) 3-6 6-4 7-6(3),,1.15,9.40%,3.90%,63.30%,81.50%,53.20%,4-Feb,3:26
26_Aug_2024,US Open,Hard,R16,12,8,(12)Fritz d. (8)Casper Ruud [NOR],3-6 6-4 6-3 6-2, (ch),1.24,23.10%,6.70%,60.60%,84.10%,53.70%,6-May,2:43
26_Aug_2024,US Open,Hard,R32,12,108,(12)Fritz d. Francisco Comesana [ARG],6-3 6-4 6-2,,1.59,7.50%,5.00%,60.00%,81.30%,59.40%,3-Mar,2:00
26_Aug_2024,US Open,Hard,R64,12,44,(12)Fritz d. Matteo Berrettini [ITA],6-3 7-6(1) 6-1, (ch),3.71,9.90%,1.40%,56.30%,90.00%,87.10%,0/0,2:09
26_Aug_2024,US Open,Hard,R128,12,93,(12)Fritz d. Camilo Ugo Carabelli [ARG],7-5 6-1 6-2,,1.67,13.20%,2.60%,53.90%,80.50%,57.10%,4-Feb,1:51
12_Aug_2024,Cincinnati Masters,Hard,R64,12,49,(WC)Brandon Nakashima [USA] d. (11)Fritz,6-4 4-6 7-6(4),,1.11,14.10%,6.50%,64.10%,83.10%,60.60%,6-May,2:17
5_Aug_2024,Canada Masters,Hard,R32,13,18,Sebastian Korda [USA] d. (9)Fritz,6-4 7-6(4),,0.82,8.60%,4.90%,51.90%,76.20%,56.40%,7-Jun,1:37
5_Aug_2024,Canada Masters,Hard,R64,13,36,(9)Fritz d. Mariano Navone [ARG],6-4 6-1, (ch),1.65,14.00%,4.00%,54.00%,77.80%,69.60%,0/0,1:14
29_Jul_2024,Paris Olympics,Clay,R16,12,16,(11)Lorenzo Musetti [ITA] d. (7)Fritz,6-4 7-5,,0.85,1.70%,0.00%,91.40%,66.00%,60.00%,4-Jan,
29_Jul_2024,Paris Olympics,Clay,R32,12,27,(7)Fritz d. Jack Draper [GBR],6-7(3) 6-3 6-2,,0.83,16.80%,3.20%,78.90%,78.70%,85.00%,9-Sep,
29_Jul_2024,Paris Olympics,Clay,R64,12,25,(7)Fritz d. Alexander Bublik [KAZ],6-4 6-4,,2.71,25.50%,2.10%,68.10%,90.60%,80.00%,2-Feb,
1_Jul_2024,Wimbledon,Grass,QF,12,25,(25)Lorenzo Musetti [ITA] d. (13)Fritz,3-6 7-6(5) 6-2 3-6 6-1, (ch),0.86,6.90%,0.70%,61.10%,64.80%,57.10%,13-Jul,3:27
1_Jul_2024,Wimbledon,Grass,R16,12,4,(13)Fritz d. (4)Alexander Zverev [GER],4-6 6-7(4) 6-4 7-6(3) 6-3,,1.31,10.30%,0.00%,66.20%,83.30%,69.40%,2-Jan,3:29
1_Jul_2024,Wimbledon,Grass,R32,12,19,(13)Fritz d. (24)Alejandro Tabilo [CHI],7-6(3) 6-3 7-5,,2.58,23.50%,1.20%,71.80%,91.80%,70.80%,0/0,1:54
1_Jul_2024,Wimbledon,Grass,R64,12,76,(13)Fritz d. Arthur Rinderknech [FRA],6-3 6-4 3-6 6-4,,1.37,14.90%,2.00%,59.40%,81.70%,65.90%,4-Mar,2:17
1_Jul_2024,Wimbledon,Grass,R128,12,79,(13)Fritz d. Christopher Oconnell [AUS],6-1 6-2 6-4,,3.08,28.60%,3.20%,60.30%,94.70%,68.00%,2-Feb,1:31
24_Jun_2024,Eastbourne,Grass,F,13,94,(1)Fritz d. (Q)Max Purcell [AUS],6-4 6-3, (ch),2.01,17.00%,0.00%,66.00%,88.60%,66.70%,0/0,1:10
24_Jun_2024,Eastbourne,Grass,SF,13,81,(1)Fritz d. (LL)Aleksandar Vukic [AUS],7-6(5) 7-6(4),,1.43,20.00%,1.30%,64.00%,95.80%,48.10%,1-Jan,1:47
24_Jun_2024,Eastbourne,Grass,QF,13,104,(1)Fritz d. (Q)Juncheng Shang [CHN],7-6(5) 7-6(5),,1.62,27.00%,2.70%,73.00%,92.60%,55.00%,4-Apr,1:46
24_Jun_2024,Eastbourne,Grass,R16,13,74,(1)Fritz d. Thiago Seyboth Wild [BRA],7-6(4) 6-3,,3.19,27.80%,1.90%,81.50%,95.50%,70.00%,0/0,1:14
17_Jun_2024,Queen's Club,Grass,QF,12,43,Jordan Thompson [AUS] d. (4)Fritz,6-4 6-3,,0.81,12.50%,7.10%,60.70%,73.50%,40.90%,10-Jul,1:19
17_Jun_2024,Queen's Club,Grass,R16,12,186,(4)Fritz d. (PR)Milos Raonic [CAN],7-6(5) 6-4,,0.96,16.90%,0.00%,66.20%,81.40%,63.60%,3-Mar,1:22
