Loc1_Infected,Loc1_Dead,Loc2_Infected,Loc2_Dead,Loc3_Infected,Loc3_Dead,Loc4_Infected,Loc4_Dead,Loc5_Infected,Loc5_Dead
14.0,4.0,55.0,9.0,2.0,1.0,7.0,1.0,6.0,2.0
14.0,4.0,76.0,9.0,3.0,1.0,10.0,1.0,6.0,2.0
21.0,4.0,68.0,10.0,4.0,1.0,14.0,1.0,7.0,2.0
27.0,5.0,104.0,10.0,4.0,1.0,18.0,1.0,10.0,2.0
33.0,5.0,137.0,10.0,5.0,1.0,24.0,1.0,11.0,2.0
39.0,5.0,153.0,12.0,6.0,1.0,24.0,1.0,17.0,2.0
50.0,5.0,257.0,14.0,6.0,1.0,38.0,1.0,20.0,2.0
52.0,5.0,296.0,15.0,7.0,1.0,57.0,1.0,21.0,2.0
65.0,6.0,327.0,19.0,7.0,1.0,74.0,1.0,34.0,3.0
79.0,6.0,516.0,22.0,9.0,1.0,73.0,1.0,37.0,3.0
136.0,7.0,566.0,27.0,8.0,1.0,88.0,1.0,26.0,3.0
98.0,7.0,958.0,31.0,14.0,1.0,148.0,1.0,48.0,4.0
153.0,8.0,1208.0,37.0,14.0,1.0,146.0,2.0,57.0,4.0
171.0,9.0,1374.0,45.0,15.0,1.0,183.0,2.0,61.0,5.0
281.0,10.0,2341.0,59.0,20.0,1.0,201.0,2.0,59.0,6.0
249.0,11.0,2746.0,75.0,25.0,1.0,298.0,2.0,96.0,7.0
469.0,13.0,3728.0,95.0,20.0,1.0,339.0,3.0,111.0,8.0
416.0,16.0,3998.0,126.0,34.0,1.0,425.0,3.0,99.0,9.0
507.0,18.0,6663.0,154.0,32.0,2.0,593.0,4.0,118.0,10.0
585.0,21.0,5712.0,197.0,32.0,2.0,956.0,5.0,119.0,12.0
850.0,26.0,10287.0,240.0,35.0,2.0,947.0,6.0,150.0,13.0
976.0,29.0,11364.0,329.0,61.0,2.0,1310.0,7.0,190.0,15.0
921.0,35.0,11049.0,412.0,65.0,2.0,1655.0,9.0,147.0,16.0
1040.0,40.0,16783.0,510.0,64.0,2.0,1988.0,11.0,163.0,18.0
1114.0,49.0,12060.0,627.0,69.0,3.0,2233.0,14.0,196.0,21.0
1078.0,50.0,13938.0,692.0,75.0,3.0,2736.0,16.0,174.0,22.0
1293.0,59.0,20177.0,836.0,98.0,3.0,3759.0,21.0,167.0,24.0
1231.0,68.0,18324.0,923.0,99.0,3.0,6481.0,25.0,165.0,26.0
1446.0,74.0,18918.0,1036.0,136.0,4.0,5803.0,35.0,174.0,27.0
1677.0,77.0,20400.0,1224.0,102.0,4.0,7548.0,43.0,216.0,29.0
1552.0,84.0,20242.0,1359.0,172.0,5.0,8932.0,50.0,224.0,31.0
1446.0,83.0,20935.0,1482.0,176.0,5.0,12849.0,62.0,191.0,33.0
1249.0,101.0,24496.0,1600.0,162.0,6.0,12305.0,79.0,198.0,34.0
1552.0,106.0,25391.0,1818.0,165.0,6.0,11428.0,90.0,230.0,36.0
1171.0,117.0,33792.0,1969.0,199.0,7.0,13167.0,101.0,223.0,39.0
1694.0,112.0,27246.0,2069.0,179.0,8.0,16444.0,123.0,197.0,42.0
1402.0,129.0,36669.0,2328.0,221.0,8.0,12234.0,134.0,229.0,43.0
1466.0,127.0,24794.0,2525.0,192.0,9.0,14587.0,152.0,185.0,42.0
1453.0,141.0,30312.0,2691.0,182.0,10.0,13652.0,174.0,239.0,50.0
1346.0,152.0,27259.0,2882.0,198.0,10.0,9293.0,178.0,159.0,48.0
1583.0,152.0,38086.0,2996.0,165.0,11.0,11784.0,188.0,222.0,51.0
1711.0,155.0,39311.0,3311.0,257.0,11.0,12690.0,240.0,286.0,55.0
1813.0,162.0,29425.0,3600.0,170.0,12.0,11393.0,228.0,245.0,53.0
1698.0,168.0,42707.0,3726.0,205.0,12.0,11817.0,239.0,158.0,60.0
1534.0,188.0,35025.0,4184.0,173.0,13.0,11836.0,253.0,334.0,67.0
1302.0,195.0,46127.0,4218.0,169.0,14.0,12190.0,275.0,230.0,66.0
1252.0,193.0,39167.0,4133.0,178.0,14.0,11496.0,296.0,293.0,67.0
1471.0,205.0,41965.0,4393.0,212.0,15.0,11087.0,301.0,253.0,71.0
1533.0,215.0,32802.0,4901.0,117.0,15.0,10755.0,304.0,247.0,76.0
1976.0,224.0,40763.0,5221.0,156.0,16.0,13231.0,304.0,295.0,78.0
