Date,Tournament,Surface,Rd,Rk,vRk,,Score,More,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
28_Oct_2024,Paris,Hard,R32,5,24,Alexei Popyrin [AUS] d. (4)Medvedev,6-4 2-6 7-6(4),,1.08,10.90%,13.90%,57.40%,75.90%,46.50%,10-Jul,2:30
2_Oct_2024,Shanghai Masters,Hard,QF,5,1,(1)Jannik Sinner [ITA] d. (5)Medvedev,6-1 6-4, (ch),0.52,5.20%,6.90%,53.40%,80.60%,22.20%,4-Jan,1:24
2_Oct_2024,Shanghai Masters,Hard,R16,5,12,(5)Medvedev d. (10)Stefanos Tsitsipas [GRE],7-6(3) 6-3,,1.67,15.90%,4.80%,66.70%,83.30%,61.90%,0/1,1:50
2_Oct_2024,Shanghai Masters,Hard,R32,5,36,(5)Medvedev d. (29)Matteo Arnaldi [ITA],5-7 6-4 6-4,,1.01,9.10%,5.50%,64.50%,69.00%,46.20%,8-May,2:44
2_Oct_2024,Shanghai Masters,Hard,R64,5,88,(5)Medvedev d. Thiago Seyboth Wild [BRA],7-5 7-5,,1.26,8.80%,4.40%,64.70%,72.70%,45.80%,3-Jan,1:56
26_Sep_2024,Beijing,Hard,SF,5,3,(2)Carlos Alcaraz [ESP] d. (3)Medvedev,7-5 6-3, (ch),0.68,4.50%,3.00%,63.60%,54.80%,50.00%,11-Jun,1:27
26_Sep_2024,Beijing,Hard,QF,5,32,(3)Medvedev d. Flavio Cobolli [ITA],6-2 6-4,,1.42,7.00%,5.60%,52.10%,78.40%,47.10%,11-Oct,1:28
26_Sep_2024,Beijing,Hard,R16,5,44,(3)Medvedev d. Adrian Mannarino [FRA],7-6(6) 6-2,,1.36,11.80%,8.80%,66.20%,80.00%,43.50%,7-May,1:41
26_Sep_2024,Beijing,Hard,R32,5,46,(3)Medvedev d. Gael Monfils [FRA],6-3 6-4, (ch),1.49,3.10%,9.40%,50.00%,71.90%,56.30%,6-Apr,1:32
20_Sep_2024,Laver Cup,Hard,RR,5,17,Ben Shelton [USA] d. Medvedev,6-7(6) 7-5 [10-7],,0.89,10.30%,3.40%,70.10%,77.00%,46.20%,2-Jan,2:03
20_Sep_2024,Laver Cup,Hard,RR,5,16,Frances Tiafoe [USA] d. Medvedev,3-6 6-4 [10-5],,0.8,5.90%,4.40%,66.20%,66.70%,56.50%,3-Feb,1:35
26_Aug_2024,US Open,Hard,QF,5,1,(1)Jannik Sinner [ITA] d. (5)Medvedev,6-2 1-6 6-1 6-4, (ch),0.7,4.60%,5.50%,56.00%,67.20%,41.70%,15-Oct,2:39
26_Aug_2024,US Open,Hard,R16,5,34,(5)Medvedev d. Nuno Borges [POR],6-0 6-1 6-3, (ch),1.8,12.30%,6.80%,63.00%,78.30%,51.90%,5-Apr,1:51
26_Aug_2024,US Open,Hard,R32,5,31,(5)Medvedev d. (31)Flavio Cobolli [ITA],6-3 6-4 6-3, (ch),1.45,10.60%,8.20%,55.30%,80.90%,44.70%,9-Jun,2:18
26_Aug_2024,US Open,Hard,R64,5,51,(5)Medvedev d. Fabian Marozsan [HUN],6-3 6-2 7-6(5), (ch),1.21,8.40%,10.50%,47.40%,66.70%,54.00%,6-Feb,2:04
26_Aug_2024,US Open,Hard,R128,5,66,(5)Medvedev d. Dusan Lajovic [SRB],6-3 3-6 6-3 6-1,,1.12,11.20%,8.80%,56.00%,75.70%,47.30%,8-Jun,2:33
12_Aug_2024,Cincinnati Masters,Hard,R32,5,35,Jiri Lehecka [CZE] d. (4)Medvedev,7-6(2) 6-4, (ch),1.03,10.60%,10.60%,43.90%,72.40%,67.60%,4-Mar,1:39
