Date,Tournament,Surface,Rd,Rk,vRk,,Score,More,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
17_Jun_2024,Queen's Club,Grass,R16,129,43,Jordan Thompson [AUS] d. (WC)Murray,4-1 RET,,0.32,6.30%,18.80%,56.30%,33.30%,42.90%,0/2,0:23
17_Jun_2024,Queen's Club,Grass,R32,129,48,(WC)Murray d. (Q)Alexei Popyrin [AUS],6-3 3-6 6-3,,1.06,10.80%,4.80%,67.50%,76.80%,55.60%,2-Jan,1:51
10_Jun_2024,Stuttgart,Grass,R32,97,54,Marcos Giron [USA] d. Murray,6-3 6-4,,0.82,6.10%,2.00%,69.40%,67.60%,60.00%,5-Mar,1:15
27_May_2024,Roland Garros,Clay,R128,75,98,Stan Wawrinka [SUI] d. Murray,6-4 6-4 6-2, (ch),,,,,,,,
20_May_2024,Geneva,Clay,R32,75,85,Yannick Hanfmann [GER] d. (WC)Murray,7-5 6-2,,0.67,3.50%,5.30%,40.40%,60.90%,55.90%,5-Feb,1:42
13_May_2024,Bordeaux CH,Clay,R16,77,115,(Alt)Gregoire Barrere [FRA] d. (7)Murray,6-4 6-2, (ch),0.77,0.00%,1.80%,42.90%,50.00%,34.40%,7-Jan,1:27
13_May_2024,Bordeaux CH,Clay,R32,77,219,(7)Murray d. (Q)Kyrian Jacquet [FRA],7-5 2-0 RET,,1.52,6.80%,0.00%,45.50%,90.00%,54.20%,2-Feb,1:04
18_Mar_2024,Miami Masters,Hard,R32,62,60,Tomas Machac [CZE] d. Murray,5-7 7-5 7-6(5), (ch),1,13.60%,2.70%,56.40%,82.30%,43.80%,5-Mar,3:28
18_Mar_2024,Miami Masters,Hard,R64,62,30,Murray d. (29)Tomas Martin Etcheverry [ARG],7-6(0) 6-3,,1.62,14.70%,1.50%,60.30%,82.90%,66.70%,7-Jul,2:17
18_Mar_2024,Miami Masters,Hard,R128,62,142,Murray d. (PR)Matteo Berrettini [ITA],4-6 6-3 6-4, (ch),1.4,10.80%,1.20%,67.50%,78.60%,66.70%,5-Apr,2:48
4_Mar_2024,Indian Wells Masters,Hard,R64,61,5,(5)Andrey Rublev [RUS] d. Murray,7-6(3) 6-1, (ch),0.74,6.90%,5.60%,62.50%,68.90%,40.70%,5-Mar,1:48
4_Mar_2024,Indian Wells Masters,Hard,R128,61,112,Murray d. (Q)David Goffin [BEL],6-3 6-2,,2.27,8.90%,2.20%,60.00%,85.20%,72.20%,0/0,1:20
26_Feb_2024,Dubai,Hard,R16,67,18,(5)Ugo Humbert [FRA] d. Murray,6-2 6-4, (ch),0.38,7.50%,4.50%,49.30%,69.70%,44.10%,7-Apr,1:29
26_Feb_2024,Dubai,Hard,R32,67,120,Murray d. (PR)Denis Shapovalov [CAN],4-6 7-6(5) 6-3,,1.14,3.10%,1.00%,69.10%,74.60%,53.30%,6-Apr,2:32
19_Feb_2024,Doha,Hard,R16,50,116,Jakub Mensik [CZE] d. Murray,7-6(6) 6-7(3) 7-6(4), (ch),1.04,6.60%,2.50%,64.50%,69.20%,58.10%,0/3,3:23
19_Feb_2024,Doha,Hard,R32,50,75,Murray d. (Q)Alexandre Muller [FRA],6-1 7-6(5),,1.25,5.40%,1.40%,60.80%,73.30%,55.20%,4-Mar,1:57
5_Feb_2024,Marseille,Hard,R32,49,66,Tomas Machac [CZE] d. Murray,7-5 6-4,,0.77,5.10%,3.40%,49.20%,72.40%,56.70%,5-Feb,1:37
29_Jan_2024,Montpellier,Hard,R32,49,112,Benoit Paire [FRA] d. (5)Murray,2-6 7-6(5) 6-3,,1.04,13.10%,2.00%,62.60%,72.60%,40.50%,7-Apr,2:39
15_Jan_2024,Australian Open,Hard,R128,44,32,(30)Tomas Martin Etcheverry [ARG] d. Murray,6-4 6-2 6-2,,0.62,7.30%,2.40%,52.40%,72.10%,33.30%,14-Aug,2:23
1_Jan_2024,Brisbane,Hard,R32,42,14,(2)Grigor Dimitrov [BUL] d. Murray,4-6 7-5 6-2,,0.76,4.70%,0.00%,59.30%,62.70%,60.00%,8-Apr,2:27
30_Oct_2023,Paris Masters,Hard,R64,40,13,(13)Alex De Minaur [AUS] d. Murray,7-6(5) 4-6 7-5, (ch),1.07,2.80%,1.90%,58.90%,71.40%,45.50%,6-Jan,3:00
23_Oct_2023,Basel,Hard,R16,40,32,Tomas Martin Etcheverry [ARG] d. Murray,6-7(5) 6-3 6-2,,0.9,1.90%,3.80%,58.70%,68.90%,46.50%,12-Aug,3:07
23_Oct_2023,Basel,Hard,R32,40,51,Murray d. Yannick Hanfmann [GER],7-5 6-4,,1.12,7.70%,1.10%,62.60%,66.70%,52.90%,8-Jun,2:18
2_Oct_2023,Shanghai Masters,Hard,R128,39,50,Roman Safiullin [RUS] d. Murray,6-3 6-2,,0.79,3.20%,7.90%,50.80%,71.90%,29.00%,8-Mar,1:39
27_Sep_2023,Beijing,Hard,R32,40,12,Alex De Minaur [AUS] d. Murray,6-3 5-7 7-6(6), (ch),0.84,3.00%,0.00%,58.40%,78.00%,45.20%,9-Jun,2:51
20_Sep_2023,Zhuhai,Hard,R16,41,63,Aslan Karatsev [RUS] d. (7)Murray,4-6 6-3 6-2,,0.82,7.60%,1.10%,56.50%,67.30%,40.00%,13-Aug,2:55
20_Sep_2023,Zhuhai,Hard,R32,41,668,(7)Murray d. (WC)Ye Cong Mo [CHN],7-5 6-3,,1.36,13.50%,1.40%,66.20%,79.60%,56.00%,5-May,1:42
