Date,Tournament,Surface,Rd,Rk,vRk,,Score,More,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
2_Oct_2024,Shanghai Masters,Hard,F,1,4,(1)Sinner d. (4)Novak Djokovic [SRB],7-6(4) 6-3, (ch),1.03,11.90%,0.00%,61.20%,75.60%,65.40%,0/0,1:37
2_Oct_2024,Shanghai Masters,Hard,SF,1,33,(1)Sinner d. (30)Tomas Machac [CZE],6-4 7-5, (ch),1.33,14.50%,1.40%,66.70%,73.90%,60.90%,3-Feb,1:43
2_Oct_2024,Shanghai Masters,Hard,QF,1,5,(1)Sinner d. (5)Daniil Medvedev [RUS],6-1 6-4, (ch),1.94,18.00%,0.00%,66.00%,84.80%,58.80%,1-Jan,1:24
2_Oct_2024,Shanghai Masters,Hard,R16,1,16,(1)Sinner d. (14)Ben Shelton [USA],6-4 7-6(1), (ch),1.31,10.60%,0.00%,69.70%,87.00%,65.00%,7-Jul,1:28
2_Oct_2024,Shanghai Masters,Hard,R32,1,37,(1)Sinner d. (31)Tomas Martin Etcheverry [ARG],6-7(3) 6-4 6-2,,1.3,13.00%,1.10%,69.60%,78.10%,53.60%,5-Apr,2:39
2_Oct_2024,Shanghai Masters,Hard,R64,1,93,(1)Sinner d. Taro Daniel [JPN],6-1 6-4,,1.91,24.50%,2.00%,77.60%,84.20%,45.50%,0/0,1:17
26_Sep_2024,Beijing,Hard,F,1,3,(2)Carlos Alcaraz [ESP] d. (1)Sinner,6-7(6) 6-4 7-6(3), (ch),0.86,4.70%,3.10%,55.00%,66.20%,53.40%,15-Dec,3:21
26_Sep_2024,Beijing,Hard,SF,1,96,(1)Sinner d. (WC)Bu Yunchaokete [CHN],6-3 7-6(3), (ch),1.37,14.30%,0.00%,67.50%,73.10%,68.00%,3-Mar,2:05
26_Sep_2024,Beijing,Hard,QF,1,37,(1)Sinner d. Jiri Lehecka [CZE],6-2 7-6(6),,1.47,10.40%,4.50%,59.70%,87.50%,55.60%,2-Feb,1:44
26_Sep_2024,Beijing,Hard,R16,1,69,(1)Sinner d. (LL)Roman Safiullin [RUS],3-6 6-2 6-3,,1.27,5.20%,3.90%,58.40%,80.00%,46.90%,6-Apr,2:21
26_Sep_2024,Beijing,Hard,R32,1,28,(1)Sinner d. Nicolas Jarry [CHI],4-6 6-3 6-1, (ch),1.86,1.50%,1.50%,68.20%,82.20%,66.70%,5-Apr,1:55
26_Aug_2024,US Open,Hard,F,1,12,(1)Sinner d. (12)Taylor Fritz [USA],6-3 6-4 7-5, (ch),1.33,7.10%,5.90%,50.60%,88.40%,47.60%,7-May,2:16
26_Aug_2024,US Open,Hard,SF,1,25,(1)Sinner d. (25)Jack Draper [GBR],7-5 7-6(3) 6-2, (ch),1.78,11.50%,2.10%,64.60%,77.40%,73.50%,4-Mar,3:03
26_Aug_2024,US Open,Hard,QF,1,5,(1)Sinner d. (5)Daniil Medvedev [RUS],6-2 1-6 6-1 6-4, (ch),1.42,4.10%,1.00%,52.60%,76.50%,60.90%,8-Jun,2:39
