Date,Tournament,Surface,Rd,Rk,vRk,,Score,More,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
28_Oct_2024,Bratislava 2 CH,Hard,R16,149,380,Dino Prizmic [CRO] d. (WC)Wawrinka,6-2 4-6 6-3,,0.64,3.60%,2.40%,61.90%,65.40%,43.80%,5-Jan,1:54
28_Oct_2024,Bratislava 2 CH,Hard,R32,149,137,(WC)Wawrinka d. Maximilian Marterer [GER],6-4 6-3,,1.36,1.90%,0.00%,65.40%,67.60%,77.80%,3-Mar,1:11
21_Oct_2024,Basel,Hard,R16,169,23,(6)Ben Shelton [USA] d. (WC)Wawrinka,7-6(2) 7-5,,0.74,6.20%,3.10%,52.30%,85.30%,58.10%,0/1,1:35
21_Oct_2024,Basel,Hard,R32,169,57,(WC)Wawrinka d. Adrian Mannarino [FRA],6-3 3-6 7-5,,1.25,15.70%,1.20%,61.40%,86.30%,46.90%,3-Jan,2:01
14_Oct_2024,Stockholm,Hard,SF,217,13,(4)Tommy Paul [USA] d. (WC)Wawrinka,6-3 6-2,,0.64,13.30%,3.30%,61.70%,67.60%,30.40%,7-Apr,1:20
14_Oct_2024,Stockholm,Hard,QF,217,7,(WC)Wawrinka d. (1)Andrey Rublev [RUS],7-6(5) 7-6(5),,0.98,15.40%,2.20%,58.20%,77.40%,50.00%,4-Mar,1:52
14_Oct_2024,Stockholm,Hard,R16,217,64,(WC)Wawrinka d. Alejandro Davidovich Fokina [ESP],6-4 3-6 7-5,,0.93,10.10%,2.00%,63.60%,74.60%,41.70%,9-Jun,2:12
14_Oct_2024,Stockholm,Hard,R32,217,38,(WC)Wawrinka d. (6)Brandon Nakashima [USA],6-4 6-4,,1.5,7.40%,1.90%,59.30%,87.50%,59.10%,1-Jan,1:20
2_Oct_2024,Shanghai Masters,Hard,R64,236,30,(28)Flavio Cobolli [ITA] d. (WC)Wawrinka,6-7(6) 7-6(4) 6-3,,0.96,18.40%,2.00%,62.20%,83.60%,54.10%,4-Mar,2:30
2_Oct_2024,Shanghai Masters,Hard,R128,236,50,(WC)Wawrinka d. Giovanni Mpetshi Perricard [FRA],7-6(2) 7-6(6),,1.19,16.00%,4.90%,49.40%,90.00%,63.40%,3-Mar,1:48
26_Sep_2024,Beijing,Hard,R32,233,69,(LL)Roman Safiullin [RUS] d. (WC)Wawrinka,6-3 6-4,,0.84,8.20%,4.90%,47.50%,65.50%,62.50%,3-Jan,1:20
26_Aug_2024,US Open,Hard,R128,176,101,(Q)Mattia Bellucci [ITA] d. (WC)Wawrinka,6-4 7-6(5) 6-3,,0.61,8.90%,6.90%,47.50%,79.20%,52.80%,6-Mar,2:13
29_Jul_2024,Paris Olympics,Clay,R32,149,63,Alexei Popyrin [AUS] d. (ITF)Wawrinka,6-4 7-5,,0.85,13.30%,0.00%,65.00%,79.50%,52.40%,0/2,
