Date,Tournament,Surface,Rd,Rk,vRk,,Score,More,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
28_Oct_2024,Paris,Hard,F,3,18,(3)Zverev d. (15)Ugo Humbert [FRA],6-2 6-2,,3.7,10.80%,0.00%,62.20%,91.30%,78.60%,0/0,1:15
28_Oct_2024,Paris,Hard,SF,3,13,(3)Zverev d. (13)Holger Rune [DEN],6-3 7-6(4),,1.47,13.40%,4.50%,67.20%,82.20%,59.10%,3-Feb,1:46
28_Oct_2024,Paris,Hard,QF,3,11,(3)Zverev d. (10)Stefanos Tsitsipas [GRE],7-5 6-4,,1.49,14.80%,3.30%,70.50%,79.10%,72.20%,1-Jan,1:41
28_Oct_2024,Paris,Hard,R16,3,20,(3)Zverev d. Arthur Fils [FRA],6-4 3-6 6-3,,1.07,18.60%,2.30%,67.40%,74.10%,57.10%,5-Apr,2:09
28_Oct_2024,Paris,Hard,R32,3,39,(3)Zverev d. Tallon Griekspoor [NED],7-6(2) 6-3,,1.3,13.20%,2.90%,61.80%,85.70%,61.50%,3-Mar,1:32
21_Oct_2024,Vienna,Hard,QF,3,17,(6)Lorenzo Musetti [ITA] d. (1)Zverev,2-6 7-6(5) 6-4,,1.12,10.10%,5.10%,69.70%,71.00%,46.70%,9-Jun,2:37
21_Oct_2024,Vienna,Hard,R16,3,48,(1)Zverev d. Marcos Giron [USA],6-2 7-5,,4.51,22.70%,0.00%,81.80%,88.90%,100.00%,0/0,1:12
21_Oct_2024,Vienna,Hard,R32,3,347,(1)Zverev d. (WC)Joel Schwaerzler [AUT],6-2 6-2,,3.28,15.80%,2.60%,63.20%,95.80%,64.30%,0/0,1:08
2_Oct_2024,Shanghai Masters,Hard,R16,3,66,David Goffin [BEL] d. (2)Zverev,6-4 7-5,,0.9,11.10%,2.80%,66.70%,66.70%,37.50%,11-Jul,1:56
2_Oct_2024,Shanghai Masters,Hard,R32,3,40,(2)Zverev d. Tallon Griekspoor [NED],7-6(6) 2-6 7-6(5),,1.05,10.50%,1.90%,77.10%,74.10%,45.80%,10-Jul,2:48
2_Oct_2024,Shanghai Masters,Hard,R64,3,101,(2)Zverev d. (Q)Mattia Bellucci [ITA],6-4 6-2,,1.72,13.70%,3.90%,70.60%,83.30%,53.30%,1-Jan,1:36
20_Sep_2024,Laver Cup,Hard,RR,2,16,Zverev d. Frances Tiafoe [USA],6-7(5) 7-5 [10-5],,1.28,14.10%,0.00%,74.10%,79.40%,45.50%,2-Jan,2:34
20_Sep_2024,Laver Cup,Hard,RR,2,7,Taylor Fritz [USA] d. Zverev,6-4 7-5,,0.74,4.30%,2.90%,75.40%,59.60%,52.90%,7-Apr,1:57
